Filename,Placement,MinHeight,MaxHeight,MinAngle,MaxAngle,MinScale,MaxScale,MinScaleY,MaxScaleY,PatchEdgeScaling,MaxXZRotation,DestroyedByPlayerShip,DestroyedByTerrainEdit,CreaturesCanEat,Coverage,FlatDensity,SlopeDensity,SlopeMultiplier,DrawDistance
MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSLARGE.SCENE.MBIN,JAMESPATCH,-1,128,0,45,0.6,1.2,1,1.25,0.5,0,TRUE,TRUE,FALSE,0.15,0.05,0.05,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/HQ/SMALLROCK.SCENE.MBIN,JAMESPATCH,-1,128,0,35,0.2,0.4,0.6,1.2,1,25,TRUE,TRUE,FALSE,0.35,0.02,0.01,1.2,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,FLORACLUMP,-1,128,0,40,0.8,1.5,1,1.2,0,0,TRUE,TRUE,FALSE,0.4,0.03,0.02,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,FLORACLUMP,-1,128,0,40,0.8,1.5,1,1.2,0,0,TRUE,TRUE,FALSE,0.35,0.01,0.01,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,BLANKETCLUMPX,-1,128,0,40,0.6,1,1,1,0.1,0,FALSE,TRUE,TRUE,0.08,0.6,0,3,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,FLORACLUMPX,-1,128,0,40,0.8,1,1,1,0.1,0,FALSE,TRUE,TRUE,0.2,0.6,0.6,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,ROCKCLUMPX,-1,128,0,15,0.9,1,1,1,0.1,0,FALSE,TRUE,TRUE,0.18,0.6,0,3,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,SPARSECLUMPX,-1,128,0,40,0.8,1,1,1,0.1,0,FALSE,TRUE,TRUE,0.27,0.6,0.6,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,BLANKETCLUMP,-1,128,0,40,0.4,0.6,1,1,0.1,0,FALSE,TRUE,TRUE,0.04,0.5,0,3,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,BLANKETCLUMP,-1,128,0,40,0.4,0.6,1,1,0.1,0,FALSE,TRUE,TRUE,0.08,0.7,0,3,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,FLORACLUMP,-1,128,0,40,0.6,0.8,1,1,0.1,0,FALSE,TRUE,TRUE,0.15,0.78,0,3,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,ROCKCLUMP,-1,128,0,15,0.9,1,1,1,0.1,0,FALSE,TRUE,TRUE,0.18,0.7,0,3,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,FOREST,-1,128,0,15,0.6,0.8,1,1,0.1,0,FALSE,TRUE,TRUE,0.14,0.65,0,3,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,GRASSCLUMP,-1,128,0,40,0.5,1,1,1,0.1,0,FALSE,TRUE,TRUE,0.25,0.99,0,3,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,BLANKETCLUMP,-1,128,0,40,0.6,1,1,1,0.1,0,FALSE,TRUE,TRUE,0.08,0.6,0,3,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,FLORACLUMP,-1,128,0,40,0.8,1,1,1,0.1,0,FALSE,TRUE,TRUE,0.2,0.6,0.6,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,ROCKCLUMP,-1,128,0,15,0.9,1,1,1,0.1,0,FALSE,TRUE,TRUE,0.18,0.6,0,3,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,FOREST,-1,128,0,15,0.8,1,1,1,0.1,0,FALSE,TRUE,TRUE,0.14,0.6,0,3,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,SPARSECLUMP,-1,128,0,40,0.8,1,1,1,0.1,0,FALSE,TRUE,TRUE,0.27,0.6,0.6,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,BLANKETCLUMP,-1,128,0,40,0.4,0.6,1,1,0.1,0,TRUE,TRUE,TRUE,0.04,0.5,0,3,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,BLANKETCLUMP,-1,128,0,40,0.4,0.6,1,1,0.1,0,TRUE,TRUE,TRUE,0.08,0.8,0.8,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,FLORACLUMP,-1,128,0,40,0.6,0.8,1,1,0.1,0,TRUE,TRUE,TRUE,0.15,0.8,0.8,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,ROCKCLUMP,-1,128,0,15,0.9,1,1,1,0.1,0,TRUE,TRUE,TRUE,0.18,0.8,0.8,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,FOREST,-1,128,0,15,0.8,0.9,1,1,0.1,0,TRUE,TRUE,TRUE,0.14,0.8,0.8,1,DetailObjects
