Filename,Placement,MinHeight,MaxHeight,MinAngle,MaxAngle,MinScale,MaxScale,MinScaleY,MaxScaleY,PatchEdgeScaling,MaxXZRotation,DestroyedByPlayerShip,DestroyedByTerrainEdit,CreaturesCanEat,Coverage,FlatDensity,SlopeDensity,SlopeMultiplier,DrawDistance
MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSLARGE.SCENE.MBIN,JAMESPATCH,-1,128,0,45,0.3,0.8,1,1,0,8,TRUE,TRUE,FALSE,0.25,0.1,0.035,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSLARGE.SCENE.MBIN,FLORACLUMP,-1,128,0,45,0.3,0.8,1,1,0,8,TRUE,TRUE,FALSE,0.25,0.1,0.035,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSLARGE.SCENE.MBIN,JAMESPATCH,-1,128,0,45,0.3,0.8,1,1,0,8,TRUE,TRUE,FALSE,0.25,0.07,0.035,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSLARGE.SCENE.MBIN,FLORACLUMP,-1,128,0,45,0.3,0.8,1,1,0,8,TRUE,TRUE,FALSE,0.25,0.07,0.035,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/HQ/SMALLROCK.SCENE.MBIN,JAMESPATCH,-1,128,0,35,0.2,0.4,0.6,1.2,1,25,TRUE,TRUE,FALSE,0.35,0.02,0.01,1.2,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/GROUNDFLOWER.SCENE.MBIN,BARRENROCKCLUMP,-1,128,0,40,0.6,0.8,0.8,1,0.5,0,TRUE,TRUE,FALSE,0.3,0.03,0.03,3,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/GROUNDFLOWER.SCENE.MBIN,JAMESPATCH,-1,128,0,40,1,1,1,1,0,0,TRUE,TRUE,FALSE,0.2,0.5,0,3,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/GROUNDFLOWER.SCENE.MBIN,JAMESPATCH,-1,128,0,40,1,1,1,1,0,0,TRUE,TRUE,FALSE,0.2,0.5,0,3,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,ROCKCLUMX,-1,128,0,40,1,1.2,1,1,0.1,0,FALSE,TRUE,TRUE,0.08,0.15,0.15,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,GRASSCLUMX,-1,128,0,40,1,1.2,1,1,0.1,0,FALSE,TRUE,TRUE,0.08,0.15,0.15,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,BARRENROCKCLUMX,-1,128,0,55,1.1,1.4,1,1,0.1,0,FALSE,TRUE,TRUE,0.21,0.5,0.5,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,ROCKCLUMP,-1,128,0,40,1,1.2,1,1,0.1,0,FALSE,TRUE,TRUE,0.08,0.15,0.15,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,GRASSCLUMP,-1,128,0,40,1,1.2,1,1,0.1,0,FALSE,TRUE,TRUE,0.08,0.15,0.15,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,BARRENROCKCLUMP,-1,128,0,55,1.1,1.4,1,1,0.1,0,FALSE,TRUE,TRUE,0.18,0.5,0.5,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,ROCKCLUMP,-1,128,0,40,1,1.2,1,1,0.1,0,FALSE,TRUE,TRUE,0.09,0.15,0.15,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,GRASSCLUMP,-1,128,0,40,1,1.2,1,1,0.1,0,FALSE,TRUE,TRUE,0.08,0.15,0.15,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,BARRENROCKCLUMP,-1,128,0,55,0.8,1.1,1,1,0.1,0,FALSE,TRUE,TRUE,0.22,0.34,0.34,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,ROCKCLUMX,-1,128,0,40,1,1.2,1,1,0.1,0,TRUE,TRUE,TRUE,0.08,0.15,0.15,1,DetailObjects
